target_year,field_rows,unique_current_reference_fields,single_crop_rows,winter_rapeseed_fields,winter_rapeseed_area_ha,positive_raw_code_pairs,official_name_crosscheck,geometry_basis,label_access_scope
2015,128636,128636,86399,4415,32835.311753,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2016,128636,128636,90907,4098,30616.495878,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2017,128636,128636,92391,4333,34088.889111,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2018,128636,128636,95264,3206,26033.480317,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2019,128636,128636,99055,3874,32692.422632,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2020,128636,128636,104270,4037,35172.718641,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2021,128636,128636,105691,4082,35830.113829,20/0;80/20,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2022,128636,128636,107840,4855,41960.794774,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2023,128636,128636,111624,4469,36969.409568,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2024,128636,128636,115585,3759,35869.252924,20/0,PASS,2025_REFERENCE_HARMONIZED,DEVELOPMENT_INVENTORY
2025,128636,128636,128636,3955,40453.24273,20/<NULL>,PASS,2025_EXACT_REFERENCE,AGGREGATE_DISCOVERY_ONLY
