source_data_row,fastighetsbeteckning,observed_total_kr,observed_kr_per_ha,frozen_pred_total_kr,frozen_pred_kr_per_ha,frozen_p10_kr_per_ha,frozen_p90_kr_per_ha,ratio_obs_pred,ape_pct,inside_p10_p90,fastighetsantal
466,Vallkärratorn 5:75,18900000,1111765,5954488,350264,289145,521393,3.1738,68.49,False,1
473,Gluggstorp 3:1,6025000,241000,7735865,309435,255451,460613,0.7788,28.40,False,3
474,Löderup 12:30,5600000,430769,4710642,362357,299152,539416,1.1888,15.88,True,1
478,Häggarp 4:1,2141000,214100,2478596,247860,204624,368959,0.8638,15.77,True,1
491,Vasagården 5:5,1030000,54211,5591479,294288,242949,438072,0.1842,442.86,False,1
501,Vemmentorp 1:4,5000000,263158,4762590,250663,206929,373104,1.0499,4.75,True,1
510,Köpinge 11:16,6000000,400000,5340325,356022,293913,530006,1.1235,10.99,True,1
522,Trumparp 3:4,2700000,245455,2976517,270592,223390,402795,0.9071,10.24,True,1
526,Hyllinge 36:1,4000000,250000,4251931,265746,219392,395581,0.9407,6.30,True,1
534,Högseröd 4:19,5500000,289474,5526058,290845,240103,432861,0.9953,0.47,True,1
541,Elestorp 16:1,4200000,300000,3954240,282446,233164,420376,1.0622,5.85,True,1
545,Olastorp 2:4,5181000,323812,3136882,196055,161857,291843,1.6516,39.45,False,1
